AM_3,DLDA,DSGT,ECCF,DS,DLDA_Lab,BE_Lab,DS_Lab,OOPM_Lab,AM_4,AOA,COA,CG,OS,AOA_Lab,CG_Lab,PA_Lab,OS_Lab,OST_LAB,OOPM_A,AM_3_A,DS_A,DLDA_A,DIS_A,ECCF_A,DLDA_Lab_A,DS_Lab_A,OOPM_Lab_A,ECCF_Lab_A,AM_3_Tutorial_A,GPA_SEMIII,GPA_SEMIV
83,71,89,79,66,42,44,44,84,81,77,70,76,85,41,42,38,43,35,82.609,91.3,92.857,84,91.1,91.489,90,100,90,90.91,100,9.08,9.22
96,75,69,62,84,48,42,46,92,82,65,79,77,81,45,41,40,41,43,73.913,65.2,76.19,80,75.6,78.723,100,90,80,81.82,100,8.92,9.36
77,51,63,56,56,43,43,44,92,70,67,70,71,73,44,40,37,42,37,86.957,89.1,90.476,93,91.1,89.362,100,100,90,100,87.5,7.5,8.07
51,48,45,46,64,48,41,45,92,71,45,68,63,61,39,40,38,43,40,78.261,71.7,78.571,82,95.6,82.979,100,100,100,90.91,87.5,6.46,7.58
67,54,81,56,71,43,42,46,93,55,64,47,65,71,45,43,41,45,43,78.261,84.8,92.857,93,91.1,89.362,90,90,90,63.64,100,7.88,7.43
99,84,90,84,86,47,46,48,90,97,84,83,86,84,46,46,45,48,45,78.261,89.1,92.857,98,91.1,93.617,90,100,100,90.91,87.5,10,10
48,59,68,60,52,44,43,38,92,56,70,75,70,71,43,39,40,45,41,73.913,84.8,88.095,91,91.1,80.851,90,100,90,90.91,87.5,6.85,8.19
75,64,61,55,66,44,40,44,89,85,66,58,53,57,46,38,36,39,39,73.913,84.8,88.095,91,91.1,80.851,90,100,90,90.91,87.5,7.81,7.56
65,53,55,43,52,42,41,41,81,68,73,63,67,70,42,35,35,41,31,86.957,76.1,83.333,87,77.8,80.851,90,90,90,81.82,100,6.65,7.59
88,73,75,68,78,47,45,44,86,76,84,84,83,77,42,40,37,43,34,86.957,84.8,92.857,93,95.6,91.489,100,90,100,90.91,87.5,8.92,9.37
92,68,74,57,75,39,44,41,80,85,68,83,77,78,45,39,39,44,33,78.261,52.2,85.714,91,84.4,87.234,100,80,100,91.67,75,8.42,8.96
