,AM4_SE,AM4_IA,AOA_SE,AOA_IA,COA_SE,COA_IA,CG_SE,CG_IA,OS_SE,OS_IA,AOA_TW,AOA_OP,CG_TW,CG_OP,PAL_TW,PAL_OP,OS_TW,OS_OP,OPST_TW,OPST_OP,GPA_SEM_4,cluster
121,56,11,44,11,23,6,44,8,54,13,20,20,18,17,19,18,20,21,16,17,0.0,4
122,47,16,56,11,32,10,52,15,56,15,20,22,20,20,22,22,21,20,15,21,7.22,4
123,75,18,69,18,53,18,69,15,52,16,21,21,21,22,22,23,23,24,19,23,9.26,0
124,71,14,39,14,25,9,38,12,48,10,22,19,19,21,23,19,21,20,17,20,7.19,4
125,79,18,62,17,62,10,62,14,57,15,19,22,21,21,22,20,21,22,19,22,9.11,0
126,73,20,57,16,47,9,47,17,47,17,20,22,24,24,20,18,24,20,22,22,8.19,2
127,74,18,68,15,53,10,66,16,62,14,22,21,20,22,22,20,22,22,21,17,9.33,0
128,76,20,66,18,67,15,51,18,58,20,23,20,24,23,24,22,23,24,20,23,9.41,0
129,76,19,67,16,61,13,69,15,60,17,23,21,20,19,23,19,22,20,18,22,9.52,0
130,77,17,72,17,63,11,63,18,61,15,24,21,21,20,24,20,22,20,22,23,9.56,0
131,56,16,63,13,47,11,64,18,60,15,21,21,22,23,22,20,23,23,19,23,8.74,2
132,74,20,67,17,59,14,68,18,58,14,24,23,24,23,24,22,23,21,22,22,9.41,0
133,73,17,62,17,64,12,61,15,59,15,21,19,18,16,24,19,23,23,19,20,9.07,0
134,78,19,70,17,55,16,66,17,68,19,22,21,23,21,24,22,24,24,20,23,9.7,3
135,62,16,65,15,48,11,60,17,62,13,21,20,19,18,19,21,22,22,19,19,8.78,2
136,56,19,54,18,50,12,67,19,54,15,24,19,23,21,21,21,21,21,21,21,8.63,2
137,51,19,57,11,47,9,62,16,49,12,17,21,18,20,19,20,20,20,16,19,7.84,2
138,70,16,50,15,45,9,58,14,56,12,21,17,19,17,20,19,20,20,22,22,8.07,2
139,52,14,32,12,39,8,43,9,49,14,19,19,20,19,20,18,20,22,17,20,6.52,4
140,51,15,56,10,45,10,45,12,64,18,23,20,17,17,22,20,21,20,21,21,7.7,2
141,70,19,47,16,13,9,39,15,61,16,23,20,22,23,22,18,23,22,20,20,8.22,4
142,77,20,71,15,72,12,65,17,68,18,22,22,20,19,21,20,24,24,19,21,9.96,3
143,63,19,62,14,50,11,59,16,60,14,21,22,20,20,21,21,24,24,16,20,8.81,2
144,80,19,68,19,64,12,64,18,67,14,23,21,20,21,21,22,24,24,22,21,9.85,3
145,72,20,55,19,41,9,56,18,58,18,24,21,24,24,22,23,24,22,22,22,8.67,2
146,73,19,62,19,69,12,71,15,62,19,23,23,22,23,23,22,24,23,19,21,10.0,3
147,71,18,48,14,39,9,59,13,62,16,23,18,17,19,21,19,21,22,22,21,8.3,2
148,19,16,48,13,40,9,53,18,60,17,22,18,21,19,22,18,22,17,20,22,7.59,1
149,51,15,41,13,35,4,49,11,41,11,21,21,15,17,20,18,19,17,15,21,0.0,4
150,78,19,66,14,58,14,59,17,65,15,23,21,22,20,22,20,19,17,21,21,9.48,0
151,71,19,54,15,54,12,53,14,68,15,22,22,20,18,21,19,21,16,20,17,8.41,2
152,71,17,60,15,60,12,58,16,69,16,23,21,20,18,21,22,24,21,20,21,9.22,0
153,65,17,32,16,49,10,55,11,65,14,20,20,18,20,18,20,20,20,16,20,7.95,2
154,55,15,41,9,32,7,51,11,51,13,20,18,23,21,20,19,22,21,17,15,6.96,4
155,56,17,40,12,24,7,49,9,58,14,20,19,22,22,20,19,20,17,19,20,0.0,4
156,34,11,43,10,32,6,43,9,50,9,20,19,18,20,19,18,23,17,19,20,6.19,5
157,42,14,35,11,32,3,42,11,54,11,20,17,16,18,17,18,20,15,12,16,0.0,5
158,64,17,57,12,54,11,54,15,59,17,23,20,23,22,23,21,21,20,18,18,8.37,2
159,65,19,53,11,32,8,48,15,51,12,23,21,18,22,21,19,21,18,17,17,7.52,4
160,71,17,51,14,47,12,63,19,62,11,23,21,20,22,23,21,20,15,18,22,8.59,2
