AM_SE,AM_IA,DLDA_SE,DLDA_IA,DSGT_SE,DSGT_IA,ECCF_SE,ECCF_IA,DS_SE,DS_IA,DigitalSL_TW,DSL_OP,BE_TW,BE_OP,DataSL_TW,DSL_OP.1,OOPM_TW,OOPM_OP,AM4_SE,AM4_IA,AOA_SE,AOA_IA,COA_SE,COA_IA,CG_SE,CG_IA,OS_SE,OS_IA,AOA_TW,AOA_OP,CG_TW,CG_OP,PAL_TW,PAL_OP,OS_TW,OS_OP,OPST_TW,OPST_OP,GPA_SEM_3,GPA_SEM_4,cluster
32,12,36,13,32,12,32,13,35,12,20,21,21,20,22,23,46,45,33,12,38,11,43,11,49,13,50,18,22,20,20,20,21,17,21,22,18,17,5.62,6.67,3
45,12,23,8,32,10,34,10,33,11,14,16,19,21,20,22,43,45,44,12,47,6,50,14,56,13,42,11,21,24,18,18,18,17,21,22,17,17,0,6.81,2
32,7,11,15,32,11,6,9,26,10,23,17,18,20,22,22,47,47,20,12,33,13,14,11,32,14,39,14,22,23,18,12,20,18,21,20,19,19,0,0,3
20,10,32,9,38,13,32,9,32,8,16,21,21,20,20,23,45,48,36,13,47,9,50,13,47,12,41,19,21,23,20,20,20,20,22,20,18,19,0,6.85,3
46,9,45,16,46,20,32,15,50,14,23,23,20,20,23,21,46,44,51,17,51,15,46,17,50,14,32,18,21,22,21,20,22,20,22,21,23,23,7.08,7.52,2
22,9,32,8,36,14,39,10,34,10,12,22,20,22,23,21,44,46,15,4,39,8,52,12,42,14,40,19,17,18,19,19,19,17,22,21,17,13,0,0,3
37,10,25,10,32,11,33,14,33,9,17,19,20,21,23,20,43,46,36,11,42,13,56,12,52,10,50,17,22,19,20,19,20,19,23,22,18,17,0,6.93,3
62,18,66,17,65,20,64,18,69,20,24,22,24,23,24,24,48,48,68,20,73,20,63,17,63,19,64,20,24,24,24,24,24,23,24,24,23,24,10,10,0
35,12,56,13,62,16,65,13,60,16,20,21,20,21,22,22,45,40,70,16,74,16,70,11,70,16,58,18,22,23,20,22,22,18,24,23,21,21,8.12,9.85,0
47,14,66,8,68,12,38,12,43,11,18,18,18,16,22,21,34,35,68,19,41,16,43,9,65,13,56,14,22,22,21,21,23,18,23,23,22,20,7,8.37,5
42,11,32,9,53,15,44,9,35,12,15,17,15,16,19,17,32,30,66,20,68,13,41,6,73,16,47,15,19,16,16,19,18,17,20,17,15,18,5.92,8.3,2
32,13,32,10,36,12,38,9,32,15,17,14,20,17,19,19,35,37,46,15,48,9,33,7,51,11,44,13,17,16,16,21,19,18,20,21,13,14,5.42,6.47,3
56,15,55,17,71,19,53,13,51,20,19,19,20,22,24,22,41,40,80,19,70,20,55,12,64,17,61,18,24,23,21,22,23,23,23,22,18,23,8.5,9.41,0
15,4,32,12,37,13,21,9,37,13,12,12,15,16,14,0,34,36,56,11,44,11,23,6,44,8,54,13,20,20,18,17,19,18,20,21,16,17,0,0,3
32,11,64,11,57,19,32,12,46,19,24,21,21,22,23,24,42,38,47,16,56,11,32,10,52,15,56,15,20,22,20,20,22,22,21,20,15,21,7.15,7.22,2
80,18,68,17,59,18,62,15,66,20,21,22,23,22,24,24,41,40,75,18,69,18,53,18,69,15,52,16,21,21,21,22,22,23,23,24,19,23,9.69,9.26,0
52,12,56,10,54,13,39,8,33,12,21,18,18,19,23,20,42,39,71,14,39,14,25,9,38,12,48,10,22,19,19,21,23,19,21,20,17,20,6.85,7.19,2
64,15,64,14,71,13,53,13,58,14,20,20,20,21,23,21,43,40,79,18,62,17,62,10,62,14,57,15,19,22,21,21,22,20,21,22,19,22,8.88,9.11,0
68,17,61,14,68,20,52,13,68,18,24,22,20,20,24,24,47,47,73,20,57,16,47,9,47,17,47,17,20,22,24,24,20,18,24,20,22,22,9.38,8.19,5
55,17,72,15,58,16,52,15,51,17,20,20,22,21,23,20,44,39,74,18,68,15,53,10,66,16,62,14,22,21,20,22,22,20,22,22,21,17,8.38,9.33,0
69,17,70,14,57,19,61,13,67,20,19,20,21,22,24,24,47,47,76,20,66,18,67,15,51,18,58,20,23,20,24,23,24,22,23,24,20,23,9.5,9.41,0
73,17,61,15,66,16,66,11,65,19,20,21,20,19,22,22,44,42,76,19,67,16,61,13,69,15,60,17,23,21,20,19,23,19,22,20,18,22,9.65,9.52,0
64,18,54,14,52,17,48,12,67,17,20,21,20,22,24,18,48,42,77,17,72,17,63,11,63,18,61,15,24,21,21,20,24,20,22,20,22,23,8.62,9.56,0
55,14,50,15,60,19,40,12,44,18,20,21,21,20,23,22,45,38,56,16,63,13,47,11,64,18,60,15,21,21,22,23,22,20,23,23,19,23,7.73,8.74,5
68,19,55,17,59,16,55,13,48,18,24,22,22,22,24,24,45,40,74,20,67,17,59,14,68,18,58,14,24,23,24,23,24,22,23,21,22,22,8.62,9.41,0
59,13,46,8,51,14,49,13,47,19,21,22,19,20,22,20,43,38,73,17,62,17,64,12,61,15,59,15,21,19,18,16,24,19,23,23,19,20,7.58,9.07,5
77,18,70,12,69,20,68,13,57,17,21,22,22,21,24,24,41,42,78,19,70,17,55,16,66,17,68,19,22,21,23,21,24,22,24,24,20,23,9.69,9.7,0
45,11,63,14,53,13,51,10,37,14,19,19,18,19,23,18,40,41,62,16,65,15,48,11,60,17,62,13,21,20,19,18,19,21,22,22,19,19,7.42,8.78,5
56,17,61,18,66,18,64,16,48,19,23,20,18,20,23,21,45,46,56,19,54,18,50,12,67,19,54,15,24,19,23,21,21,21,21,21,21,21,8.96,8.63,5
44,13,63,10,50,13,55,15,35,17,22,21,19,19,21,18,37,35,51,19,57,11,47,9,62,16,49,12,17,21,18,20,19,20,20,20,16,19,7.31,7.84,5
62,16,67,15,70,19,57,12,50,15,21,20,19,20,23,23,44,42,70,16,50,15,45,9,58,14,56,12,21,17,19,17,20,19,20,20,22,22,8.85,8.07,5
