AM4_SE,AM4_IA,AM4_TOT,AOA_SE,AOA_IA,AOA_TOT,COA_SE,COA_IA,COA_TOT,CG_SE,CG_IA,CG_TOT,OS_SE,OS_IA,OS_TOT,AOA_TW,AOA_OP,AOAL_TOT,CG_TW,CG_OP,CGL_TOT,PAL_TW,PAL_OP,PAL_TOT,OS_TW,OS_OP,OSL_TOT,OPST_TW,OPST_OP,OPST_TOT,GPA_SEM_4
19,16,,48,13,,40,9,,53,18,,60,17,,22,18,,21,19,,22,18,,22,17,,20,22,,7.59
51,15,,41,13,,35,4,,49,11,,41,11,,21,21,,15,17,,20,18,,19,17,,15,21,,0
78,19,,66,14,,58,14,,59,17,,65,15,,23,21,,22,20,,22,20,,19,17,,21,21,,9.48
71,19,,54,15,,54,12,,53,14,,68,15,,22,22,,20,18,,21,19,,21,16,,20,17,,8.41
71,17,,60,15,,60,12,,58,16,,69,16,,23,21,,20,18,,21,22,,24,21,,20,21,,9.22
65,17,,32,16,,49,10,,55,11,,65,14,,20,20,,18,20,,18,20,,20,20,,16,20,,7.95
55,15,,41,9,,32,7,,51,11,,51,13,,20,18,,23,21,,20,19,,22,21,,17,15,,6.96
56,17,,40,12,,24,7,,49,9,,58,14,,20,19,,22,22,,20,19,,20,17,,19,20,,0
34,11,,43,10,,32,6,,43,9,,50,9,,20,19,,18,20,,19,18,,23,17,,19,20,,6.19
42,14,,35,11,,32,3,,42,11,,54,11,,20,17,,16,18,,17,18,,20,15,,12,16,,0
64,17,,57,12,,54,11,,54,15,,59,17,,23,20,,23,22,,23,21,,21,20,,18,18,,8.37
65,19,,53,11,,32,8,,48,15,,51,12,,23,21,,18,22,,21,19,,21,18,,17,17,,7.52
71,17,,51,14,,47,12,,63,19,,62,11,,23,21,,20,22,,23,21,,20,15,,18,22,,8.59
60,8,,36,9,,20,8,,39,11,,32,9,,16,15,,13,15,,12,19,,19,15,,12,16,,5.66
68,18,,52,16,,49,12,,63,11,,62,16,,22,19,,19,17,,20,20,,21,20,,14,14,,8.3
72,20,,45,19,,61,12,,54,14,,64,18,,23,23,,19,20,,23,22,,21,18,,19,20,,8.67
50,10,,36,7,,39,6,,36,15,,52,12,,16,16,,13,15,,13,18,,17,15,,16,15,,6.07
76,20,,59,17,,51,14,,47,16,,67,16,,24,22,,23,22,,23,22,,22,17,,22,22,,8.93
43,14,,45,13,,46,11,,43,16,,58,14,,22,19,,20,20,,23,21,,21,15,,17,19,,6.96
57,18,,55,14,,44,12,,62,16,,55,13,,22,20,,21,20,,22,22,,20,16,,17,13,,7.89
62,18,,49,18,,53,12,,54,16,,63,15,,21,21,,20,22,,23,22,,20,16,,22,22,,8.59
51,13,,48,10,,32,8,,47,13,,67,16,,21,18,,17,19,,19,20,,21,16,,18,16,,7.07
